Name,Sex,House,Race,Blood status,Birthdate,Deathdate.or.Censor,Days,Loyalty,Status
(Bill) William Arthur Weasley,Male,Gryffindor,Half-Human,Pure-blood,11/29/1970,6/30/1998,"10,075.00",Dumbledore,1
Aberforth Dumbledore,Male,NA,Human,Half-blood,9/1/1884,6/30/1998,"41,574.00",Dumbledore,1
Alastor Moody,Male,NA,Human,Pure-blood,1/1/1959,7/27/1997,"14,087.00",Dumbledore,2
Albus Percival Wulfric Brian Dumbledore,Male,Gryffindor,Human,Half-blood,8/31/1981,6/30/1997,"5,782.00",Dumbledore,2
Alecto Carrow,Female,Slytherin,Human,Unknown,12/31/1980,6/30/1998,"6,390.00",Voldemort,1
Alicia Spinnet,Female,Gryffindor,Human,Unknown,8/31/1978,6/30/1998,"7,243.00",Dumbledore,1
Amycus Carrow,Male,Slytherin,Human,Unknown,12/31/1981,6/30/1998,"6,025.00",Voldemort,1
Angelina Johnson,Female,Gryffindor,Human,Unknown,10/31/1977,6/30/1998,"7,547.00",Dumbledore,1
Anthony Goldstein,Male,Ravenclaw,Human,Half-blood,9/21/1977,6/30/1998,"7,587.00",Dumbledore,1
Antonin Dolohov,Male,Slytherin,Human,Unknown,12/31/1959,6/30/1998,"14,061.00",Voldemort,1
Argus Filch,Male,NA,Human ,Squib,11/30/1959,6/30/1998,"14,092.00",Unknown,1
Arthur Weasley,Male,Gryffindor,Human,Pure-blood,2/6/1950,6/30/1998,"17,676.00",Dumbledore,1
Augustus Rookwood,Male,Slytherin,Human,Unknown,11/30/1963,6/30/1998,"12,631.00",Voldemort,1
Aurora Sinistra,Female,NA,Human ,Pure-blood or half-blood,10/31/1967,6/30/1998,"11,200.00",Unknown,1
Barty Crouch Jr.,Male,NA,Human,Unknown,5/15/1905,1/1/1996,"33,103.00",Dumbledore,2
Barty Crouch Sr.,Male,NA,Human,Pure-blood,4/24/1942,5/27/1995,"19,391.00",Dumbledore,2
Bellatrix Lestrange,Female,Slytherin,Human,Pure-blood,5/4/1905,5/2/1998,"33,966.00",Voldemort,2
Benjy Fenwick,Male,NA,Human,Unknown,3/17/1963,6/3/1981,"6,653.00",Dumbledore,2
Blaise Zabini,Male,Slytherin,Human,Unknown,9/1/1979,6/30/1998,"6,877.00",Unknown,1
Bloody Baron,Male,Slytherin,Ghost,Unknown,1/2/0982,5/6/1054,"26,421.00",Unknown,2
Cedric Diggory,Male,Hufflepuff,Human,Pure-blood,10/30/1977,6/24/1995,"6,446.00",Dumbledore,2
Charity Burbage,Female,NA,Human,Unknown,6/6/1975,7/24/1997,"8,084.00",Dumbledore,2
Charles Weasley,Male,Gryffindor,Human,Pure-blood,12/12/1972,6/30/1998,"9,331.00",Dumbledore,1
Cho Chang,Female,Ravenclaw,Human,Unknown,9/1/1979,6/30/1998,"6,877.00",Dumbledore,1
Colin Creevey,Male,Gryffindor,Human,Muggle-born,5/3/1981,5/2/1988,"2,556.00",Dumbledore,2
Corban Yaxley,Male,Slytherin,Human,Unknown,7/2/1969,6/30/1998,"10,590.00",Voldemort,1
Cormac McLaggen,Male,Gryffindor,Human,Unknown,9/1/1978,6/30/1998,"7,242.00",Dumbledore,1
Cornelius Oswald Fudge,Male,NA,Human,Unknown,4/3/1973,6/30/1998,"9,219.00",Dumbledore,1
Cuthbert Binns,Male,NA,Human,Unknown,2/2/1824,4/5/1889,"23,804.00",Unknown,2
Dean Thomas,Male,Gryffindor,Human,Muggle-born,8/31/1980,6/30/1998,"6,512.00",Dumbledore,1
Dedalus Diggle,Male,NA,Human,Unknown,4/3/1963,6/30/1998,"12,872.00",Dumbledore,1
Dennis Creevey,Male,Gryffindor,Human ,Muggle-born,8/22/1983,6/30/1998,"5,426.00",Dumbledore,1
